date,positives,ratio
2020-12-22,2,221.3920022
2020-12-23,1,235.2290024
2020-12-24,0,235.2290024
2020-12-25,2,262.9030026
2020-12-26,4,304.414003
2020-12-27,5,373.5990037
2020-12-28,0,359.7620036
2020-12-29,2,359.7620036
2020-12-30,1,332.0880033
2020-12-31,5,359.7620036
2021-01-01,7,428.9470043
2021-01-02,3,470.4580047
2021-01-03,3,511.9690051
2021-01-04,8,608.8280061
2021-01-05,4,664.1760066
2021-01-06,5,678.0130068
2021-01-07,3,719.5240072
2021-01-08,2,719.5240072
2021-01-09,5,733.3610073
2021-01-10,7,830.2200083
2021-01-11,1,774.8720077
2021-01-12,6,830.2200083
2021-01-13,4,871.7310087
2021-01-14,7,899.405009
2021-01-15,3,844.0570084
2021-01-16,3,844.0570084
2021-01-17,3,844.0570084
2021-01-18,5,802.546008
